timestamp,source_ip,destination_ip,user,log_type,protocol,port,bytes_sent,bytes_received,login_status,failed_login_count,http_method,url,status_code,label
2026-01-01 00:09:17.000,10.0.14.139,10.0.3.99,hodgeskimberly,auth,TCP,22,1184,747,SUCCESS,0.0,,,,Normal
2026-01-01 00:22:31.000,10.0.2.13,219.217.89.185,natasha71,web,TCP,443,392,2777,,,GET,/profile,200.0,Normal
2026-01-01 00:22:37.000,10.0.0.191,86.183.102.166,jennifermccoy,web,TCP,443,1397,372,,,POST,/products,200.0,Normal
2026-01-01 00:23:59.000,10.0.9.254,10.0.7.116,martintammy,network,UDP,3306,3274,3396,,,,,,Normal
2026-01-01 00:29:06.000,10.0.3.175,10.0.17.52,tracy49,auth,TCP,22,1972,552,SUCCESS,0.0,,,,Normal
2026-01-01 00:29:40.000,10.0.17.77,10.0.2.99,kristinschneider,auth,TCP,22,894,1062,SUCCESS,0.0,,,,Normal
2026-01-01 00:32:53.000,10.0.2.99,10.0.17.109,richard59,auth,TCP,22,1080,936,SUCCESS,0.0,,,,Normal
2026-01-01 00:38:04.000,10.0.2.13,48.160.209.110,melaniemeyer,web,TCP,443,1343,2213,,,GET,/search,200.0,Normal
2026-01-01 00:44:10.000,10.0.8.64,99.239.196.218,ashleyhunter,web,TCP,443,2563,302,,,POST,/home,200.0,Normal
2026-01-01 01:03:55.000,10.0.18.110,10.0.10.28,hodgeskimberly,network,UDP,80,1728,1535,,,,,,Normal
2026-01-01 01:07:47.000,10.0.6.182,10.0.10.28,angel91,auth,TCP,22,1136,1760,SUCCESS,0.0,,,,Normal
2026-01-01 01:08:22.000,10.0.11.149,100.3.36.241,brandon67,web,TCP,443,1382,2858,,,POST,/home,200.0,Normal
2026-01-01 01:15:22.000,10.0.8.64,10.0.2.13,brandon67,web,TCP,443,473,338,,,GET,/payroll,200.0,Unauthorized Access
2026-01-01 01:15:25.000,10.0.20.181,10.0.2.13,martinezcheryl,web,TCP,443,688,514,,,GET,/admin,200.0,Unauthorized Access
2026-01-01 01:16:39.000,10.0.7.223,10.0.7.37,jennifermccoy,auth,TCP,22,409,940,SUCCESS,0.0,,,,Normal
2026-01-01 01:16:42.000,10.0.3.251,10.0.1.9,ashleyrios,auth,TCP,22,1119,1446,SUCCESS,0.0,,,,Normal
2026-01-01 01:24:23.000,10.0.7.199,10.0.11.149,zbradshaw,auth,TCP,22,207,901,SUCCESS,0.0,,,,Normal
2026-01-01 01:25:13.000,10.0.17.52,10.0.7.199,zbradshaw,auth,TCP,22,200,289,SUCCESS,0.0,,,,Normal
2026-01-01 01:26:24.000,10.0.17.109,88.97.145.158,christian36,web,TCP,443,1439,490,,,GET,/api/status,200.0,Normal
2026-01-01 01:30:05.000,10.0.17.24,192.85.206.177,nicoleescobar,web,TCP,443,1872,2517,,,POST,/cart,200.0,Normal
2026-01-01 01:33:11.000,10.0.7.116,10.0.17.109,natashabailey,web,TCP,443,596,580,,,GET,/payroll,200.0,Unauthorized Access
2026-01-01 01:34:20.000,10.0.20.160,10.0.1.188,dyerraymond,web,TCP,443,878,227,,,GET,/db-console,200.0,Unauthorized Access
